Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17,Hospital
진균 감염,가려움,피부 발진,결절성 피부 발진,색소 이상 반점,,,,,,,,,,,,,,피부과
알레르기,지속적인 재채기,오한,오한,눈물 흘림,,,,,,,,,,,,,,알레르기과
위식도 역류 질환,복통,산성 역류,혀의 궤양,구토,기침,가슴 통증,,,,,,,,,,,,내과
만성 담즙 정체,가려움,구토,황색 피부,메스꺼움,식욕 감소,복통,눈의 황변,,,,,,,,,,,외과
약물 반응,가려움,피부 발진,복통,배뇨 시 화끈거림,혈뇨,,,,,,,,,,,,,정신과
소화성 궤양,구토,소화 불량,식욕 감소,복통,가스 배출,내부 가려움,,,,,,,,,,,,종합병원
에이즈,근육 소모,목구멍의 반점,고열,외도,,,,,,,,,,,,,,종합병원
당뇨병,피로,체중 감소,불안정,무기력,불규칙한 혈당,시력 흐림 및 왜곡,비만,과도한 허기,식욕 증가,다뇨,,,,,,,,내과
위장염,구토,눈의 함몰,탈수,설사,,,,,,,,,,,,,,종합병원
기관지 천식,피로,기침,고열,숨가쁨,가족력,점액성 가래,,,,,,,,,,,,호흡기내과
고혈압,두통,가슴 통증,어지러움,균형 상실,집중력 부족,,,,,,,,,,,,,내과
편두통,산성 역류,소화 불량,두통,시력 흐림 및 왜곡,과도한 허기,목 경직,우울증,성미 급함,시각 장애,,,,,,,,,신경과
경추증,허리 통증,사지 약화,목 통증,어지러움,균형 상실,,,,,,,,,,,,,정형외과
마비(뇌출혈),구토,두통,한쪽 몸의 약화,감각 변화,,,,,,,,,,,,,,신경과
황달,가려움,구토,피로,체중 감소,고열,황색 피부,어두운 소변,복통,,,,,,,,,,종합병원
말라리아,오한,구토,고열,발한,두통,메스꺼움,설사,근육통,,,,,,,,,,종합병원
수두,가려움,피부 발진,피로,무기력,고열,두통,식욕 감소,약한 열,림프절 부종,불쾌감,몸 전체의 붉은 반점,,,,,,,소아과
뎅기열,피부 발진,오한,관절통,구토,피로,고열,두통,메스꺼움,식욕 감소,눈 뒤편의 통증,허리 통증,불쾌감,근육통,몸 전체의 붉은 반점,,,,종합병원
장티푸스,오한,구토,피로,고열,두통,메스꺼움,변비,복통,설사,독성 외모(타이푸스),복통,,,,,,,종합병원
A형 간염,관절통,구토,황색 피부,어두운 소변,메스꺼움,식욕 감소,복통,설사,약한 열,눈의 황변,근육통,,,,,,,종합병원
B형 간염,가려움,피로,무기력,황색 피부,어두운 소변,식욕 감소,복통,노란 소변,눈의 황변,불쾌감,수혈 받음,비멸균 주사 사용,,,,,,종합병원
C형 간염,피로,황색 피부,메스꺼움,식욕 감소,눈의 황변,가족력,,,,,,,,,,,,종합병원
D형 간염,관절통,구토,피로,황색 피부,어두운 소변,메스꺼움,식욕 감소,복통,눈의 황변,,,,,,,,,종합병원
E형 간염,관절통,구토,피로,고열,황색 피부,어두운 소변,메스꺼움,식욕 감소,복통,눈의 황변,급성 간부전,혼수 상태,위 출혈,,,,,종합병원
알코올성 간염,구토,황색 피부,복통,복부 팽창,복부 팽만,알코올 섭취,체액 과부하,,,,,,,,,,,내과
결핵,오한,구토,피로,체중 감소,기침,고열,숨가쁨,발한,식욕 감소,약한 열,눈의 황변,림프절 부종,불쾌감,가래,가슴 통증,가래 속 혈액,,종합병원
감기,지속적인 재채기,오한,피로,기침,고열,두통,림프절 부종,불쾌감,가래,목 자극,눈의 충혈,축농증,콧물,혼잡,가슴 통증,후각 상실,근육통,종합병원
폐렴,오한,피로,기침,고열,숨가쁨,발한,불쾌감,가래,가슴 통증,빠른 심장 박동,녹슨 가래,,,,,,,호흡기내과
이형성 치질,변비,대변 시 통증,항문 지역 통증,혈변,항문 자극,,,,,,,,,,,,,외과
심장마비,구토,숨가쁨,발한,가슴 통증,,,,,,,,,,,,,,종합병원
정맥류,피로,경련,멍,비만,다리 부종,혈관 부종,정강이의 두드러진 정맥,,,,,,,,,,,외과
갑상선 기능 저하증,피로,체중 증가,손발 차가움,기분 변화,무기력,어지러움,얼굴과 눈의 부기,갑상선 비대,취약한 손톱,사지 부종,우울증,성미 급함,비정상적 월경,,,,,종합병원
갑상선 기능 항진증,피로,기분 변화,체중 감소,불안정,발한,설사,빠른 심장 박동,과도한 허기,근육 약화,성미 급함,비정상적 월경,,,,,,,종합병원
저혈당증,구토,피로,불안,발한,두통,메스꺼움,시력 흐림 및 왜곡,과도한 허기,입술의 건조 및 따끔거림,말이 어눌함,성미 급함,심계항진,,,,,,내과
골관절염,관절통,목 통증,무릎 통증,고관절 통증,관절 부종,통증을 동반한 걷기,,,,,,,,,,,,종합병원
관절염,근육 약화,목 경직,관절 부종,움직임의 경직,통증을 동반한 걷기,,,,,,,,,,,,,종합병원
돌발성 위치성 현훈,구토,두통,메스꺼움,회전 동작,균형 상실,불안정성,,,,,,,,,,,,신경과
여드름,피부 발진,고름 여드름,블랙헤드,급하게 달리기,,,,,,,,,,,,,,피부과
요로 감염,배뇨 시 화끈거림,방광 불편함,소변의 악취,지속적인 소변감,,,,,,,,,,,,,,종합병원
건선,피부 발진,관절통,피부 벗겨짐,은백색 분진,손톱의 작은 움푹함,염증성 손톱,,,,,,,,,,,,피부과
임페티고,피부 발진,고열,물집,코 주변의 붉은 통증,노란색 딱지,,,,,,,,,,,,,피부과
진균 감염,가려움,피부 발진,결절성 피부 발진,색소 이상 반점,,,,,,,,,,,,,,피부과
알레르기,지속적인 재채기,오한,오한,눈물 흘림,,,,,,,,,,,,,,알레르기과
위식도 역류 질환,복통,산성 역류,혀의 궤양,구토,기침,가슴 통증,,,,,,,,,,,,내과
만성 담즙 정체,가려움,구토,황색 피부,메스꺼움,식욕 감소,복통,눈의 황변,,,,,,,,,,,외과
약물 반응,가려움,피부 발진,복통,배뇨 시 화끈거림,혈뇨,,,,,,,,,,,,,정신과
소화성 궤양,구토,소화 불량,식욕 감소,복통,가스 배출,내부 가려움,,,,,,,,,,,,종합병원
에이즈,근육 소모,목구멍의 반점,고열,외도,,,,,,,,,,,,,,종합병원
당뇨병,피로,체중 감소,불안정,무기력,불규칙한 혈당,시력 흐림 및 왜곡,비만,과도한 허기,식욕 증가,다뇨,,,,,,,,내과
위장염,구토,눈의 함몰,탈수,설사,,,,,,,,,,,,,,종합병원
기관지 천식,피로,기침,고열,숨가쁨,가족력,점액성 가래,,,,,,,,,,,,호흡기내과
고혈압,두통,가슴 통증,어지러움,균형 상실,집중력 부족,,,,,,,,,,,,,내과
편두통,산성 역류,소화 불량,두통,시력 흐림 및 왜곡,과도한 허기,목 경직,우울증,성미 급함,시각 장애,,,,,,,,,신경과
경추증,허리 통증,사지 약화,목 통증,어지러움,균형 상실,,,,,,,,,,,,,정형외과
마비(뇌출혈),구토,두통,한쪽 몸의 약화,감각 변화,,,,,,,,,,,,,,신경과
황달,가려움,구토,피로,체중 감소,고열,황색 피부,어두운 소변,복통,,,,,,,,,,종합병원
말라리아,오한,구토,고열,발한,두통,메스꺼움,설사,근육통,,,,,,,,,,종합병원
수두,가려움,피부 발진,피로,무기력,고열,두통,식욕 감소,약한 열,림프절 부종,불쾌감,몸 전체의 붉은 반점,,,,,,,소아과
뎅기열,피부 발진,오한,관절통,구토,피로,고열,두통,메스꺼움,식욕 감소,눈 뒤편의 통증,허리 통증,불쾌감,근육통,몸 전체의 붉은 반점,,,,종합병원
장티푸스,오한,구토,피로,고열,두통,메스꺼움,변비,복통,설사,독성 외모(타이푸스),복통,,,,,,,종합병원
A형 간염,관절통,구토,황색 피부,어두운 소변,메스꺼움,식욕 감소,복통,설사,약한 열,눈의 황변,근육통,,,,,,,종합병원
B형 간염,가려움,피로,무기력,황색 피부,어두운 소변,식욕 감소,복통,노란 소변,눈의 황변,불쾌감,수혈 받음,비멸균 주사 사용,,,,,,종합병원
C형 간염,피로,황색 피부,메스꺼움,식욕 감소,눈의 황변,가족력,,,,,,,,,,,,종합병원
D형 간염,관절통,구토,피로,황색 피부,어두운 소변,메스꺼움,식욕 감소,복통,눈의 황변,,,,,,,,,종합병원
E형 간염,관절통,구토,피로,고열,황색 피부,어두운 소변,메스꺼움,식욕 감소,복통,눈의 황변,급성 간부전,혼수 상태,위 출혈,,,,,종합병원
알코올성 간염,구토,황색 피부,복통,복부 팽창,복부 팽만,알코올 섭취,체액 과부하,,,,,,,,,,,내과
결핵,오한,구토,피로,체중 감소,기침,고열,숨가쁨,발한,식욕 감소,약한 열,눈의 황변,림프절 부종,불쾌감,가래,가슴 통증,가래 속 혈액,,종합병원
감기,지속적인 재채기,오한,피로,기침,고열,두통,림프절 부종,불쾌감,가래,목 자극,눈의 충혈,축농증,콧물,혼잡,가슴 통증,후각 상실,근육통,종합병원
폐렴,오한,피로,기침,고열,숨가쁨,발한,불쾌감,가래,가슴 통증,빠른 심장 박동,녹슨 가래,,,,,,,호흡기내과
이형성 치질,변비,대변 시 통증,항문 지역 통증,혈변,항문 자극,,,,,,,,,,,,,외과
심장마비,구토,숨가쁨,발한,가슴 통증,,,,,,,,,,,,,,종합병원
정맥류,피로,경련,멍,비만,다리 부종,혈관 부종,정강이의 두드러진 정맥,,,,,,,,,,,외과
갑상선 기능 저하증,피로,체중 증가,손발 차가움,기분 변화,무기력,어지러움,얼굴과 눈의 부기,갑상선 비대,취약한 손톱,사지 부종,우울증,성미 급함,비정상적 월경,,,,,종합병원
갑상선 기능 항진증,피로,기분 변화,체중 감소,불안정,발한,설사,빠른 심장 박동,과도한 허기,근육 약화,성미 급함,비정상적 월경,,,,,,,종합병원
저혈당증,구토,피로,불안,발한,두통,메스꺼움,시력 흐림 및 왜곡,과도한 허기,입술의 건조 및 따끔거림,말이 어눌함,성미 급함,심계항진,,,,,,내과
골관절염,관절통,목 통증,무릎 통증,고관절 통증,관절 부종,통증을 동반한 걷기,,,,,,,,,,,,종합병원
관절염,근육 약화,목 경직,관절 부종,움직임의 경직,통증을 동반한 걷기,,,,,,,,,,,,,종합병원
돌발성 위치성 현훈,구토,두통,메스꺼움,회전 동작,균형 상실,불안정성,,,,,,,,,,,,신경과
여드름,피부 발진,고름 여드름,블랙헤드,급하게 달리기,,,,,,,,,,,,,,피부과
요로 감염,배뇨 시 화끈거림,방광 불편함,소변의 악취,지속적인 소변감,,,,,,,,,,,,,,종합병원
건선,피부 발진,관절통,피부 벗겨짐,은백색 분진,손톱의 작은 움푹함,염증성 손톱,,,,,,,,,,,,피부과
임페티고,피부 발진,고열,물집,코 주변의 붉은 통증,노란색 딱지,,,,,,,,,,,,,피부과
진균 감염,가려움,피부 발진,결절성 피부 발진,색소 이상 반점,,,,,,,,,,,,,,피부과
알레르기,지속적인 재채기,오한,오한,눈물 흘림,,,,,,,,,,,,,,알레르기과
위식도 역류 질환,복통,산성 역류,혀의 궤양,구토,기침,가슴 통증,,,,,,,,,,,,내과
만성 담즙 정체,가려움,구토,황색 피부,메스꺼움,식욕 감소,복통,눈의 황변,,,,,,,,,,,외과
약물 반응,가려움,피부 발진,복통,배뇨 시 화끈거림,혈뇨,,,,,,,,,,,,,정신과
소화성 궤양,구토,소화 불량,식욕 감소,복통,가스 배출,내부 가려움,,,,,,,,,,,,종합병원
에이즈,근육 소모,목구멍의 반점,고열,외도,,,,,,,,,,,,,,종합병원
당뇨병,피로,체중 감소,불안정,무기력,불규칙한 혈당,시력 흐림 및 왜곡,비만,과도한 허기,식욕 증가,다뇨,,,,,,,,내과
위장염,구토,눈의 함몰,탈수,설사,,,,,,,,,,,,,,종합병원
기관지 천식,피로,기침,고열,숨가쁨,가족력,점액성 가래,,,,,,,,,,,,호흡기내과
고혈압,두통,가슴 통증,어지러움,균형 상실,집중력 부족,,,,,,,,,,,,,내과
편두통,산성 역류,소화 불량,두통,시력 흐림 및 왜곡,과도한 허기,목 경직,우울증,성미 급함,시각 장애,,,,,,,,,신경과
경추증,허리 통증,사지 약화,목 통증,어지러움,균형 상실,,,,,,,,,,,,,정형외과
마비(뇌출혈),구토,두통,한쪽 몸의 약화,감각 변화,,,,,,,,,,,,,,신경과
황달,가려움,구토,피로,체중 감소,고열,황색 피부,어두운 소변,복통,,,,,,,,,,종합병원
말라리아,오한,구토,고열,발한,두통,메스꺼움,설사,근육통,,,,,,,,,,종합병원
수두,가려움,피부 발진,피로,무기력,고열,두통,식욕 감소,약한 열,림프절 부종,불쾌감,몸 전체의 붉은 반점,,,,,,,소아과
뎅기열,피부 발진,오한,관절통,구토,피로,고열,두통,메스꺼움,식욕 감소,눈 뒤편의 통증,허리 통증,불쾌감,근육통,몸 전체의 붉은 반점,,,,종합병원
장티푸스,오한,구토,피로,고열,두통,메스꺼움,변비,복통,설사,독성 외모(타이푸스),복통,,,,,,,종합병원
A형 간염,관절통,구토,황색 피부,어두운 소변,메스꺼움,식욕 감소,복통,설사,약한 열,눈의 황변,근육통,,,,,,,종합병원
B형 간염,가려움,피로,무기력,황색 피부,어두운 소변,식욕 감소,복통,노란 소변,눈의 황변,불쾌감,수혈 받음,비멸균 주사 사용,,,,,,종합병원
C형 간염,피로,황색 피부,메스꺼움,식욕 감소,눈의 황변,가족력,,,,,,,,,,,,종합병원
D형 간염,관절통,구토,피로,황색 피부,어두운 소변,메스꺼움,식욕 감소,복통,눈의 황변,,,,,,,,,종합병원
E형 간염,관절통,구토,피로,고열,황색 피부,어두운 소변,메스꺼움,식욕 감소,복통,눈의 황변,급성 간부전,혼수 상태,위 출혈,,,,,종합병원
알코올성 간염,구토,황색 피부,복통,복부 팽창,복부 팽만,알코올 섭취,체액 과부하,,,,,,,,,,,내과
결핵,오한,구토,피로,체중 감소,기침,고열,숨가쁨,발한,식욕 감소,약한 열,눈의 황변,림프절 부종,불쾌감,가래,가슴 통증,가래 속 혈액,,종합병원
감기,지속적인 재채기,오한,피로,기침,고열,두통,림프절 부종,불쾌감,가래,목 자극,눈의 충혈,축농증,콧물,혼잡,가슴 통증,후각 상실,근육통,종합병원
폐렴,오한,피로,기침,고열,숨가쁨,발한,불쾌감,가래,가슴 통증,빠른 심장 박동,녹슨 가래,,,,,,,호흡기내과
이형성 치질,변비,대변 시 통증,항문 지역 통증,혈변,항문 자극,,,,,,,,,,,,,외과
심장마비,구토,숨가쁨,발한,가슴 통증,,,,,,,,,,,,,,종합병원
정맥류,피로,경련,멍,비만,다리 부종,혈관 부종,정강이의 두드러진 정맥,,,,,,,,,,,외과
갑상선 기능 저하증,피로,체중 증가,손발 차가움,기분 변화,무기력,어지러움,얼굴과 눈의 부기,갑상선 비대,취약한 손톱,사지 부종,우울증,성미 급함,비정상적 월경,,,,,종합병원
갑상선 기능 항진증,피로,기분 변화,체중 감소,불안정,발한,설사,빠른 심장 박동,과도한 허기,근육 약화,성미 급함,비정상적 월경,,,,,,,종합병원
저혈당증,구토,피로,불안,발한,두통,메스꺼움,시력 흐림 및 왜곡,과도한 허기,입술의 건조 및 따끔거림,말이 어눌함,성미 급함,심계항진,,,,,,내과
골관절염,관절통,목 통증,무릎 통증,고관절 통증,관절 부종,통증을 동반한 걷기,,,,,,,,,,,,종합병원
관절염,근육 약화,목 경직,관절 부종,움직임의 경직,통증을 동반한 걷기,,,,,,,,,,,,,종합병원
돌발성 위치성 현훈,구토,두통,메스꺼움,회전 동작,균형 상실,불안정성,,,,,,,,,,,,신경과
여드름,피부 발진,고름 여드름,블랙헤드,급하게 달리기,,,,,,,,,,,,,,피부과
요로 감염,배뇨 시 화끈거림,방광 불편함,소변의 악취,지속적인 소변감,,,,,,,,,,,,,,종합병원
건선,피부 발진,관절통,피부 벗겨짐,은백색 분진,손톱의 작은 움푹함,염증성 손톱,,,,,,,,,,,,피부과
임페티고,피부 발진,고열,물집,코 주변의 붉은 통증,노란색 딱지,,,,,,,,,,,,,피부과
진균 감염,가려움,피부 발진,결절성 피부 발진,색소 이상 반점,,,,,,,,,,,,,,피부과
알레르기,지속적인 재채기,오한,오한,눈물 흘림,,,,,,,,,,,,,,알레르기과
위식도 역류 질환,복통,산성 역류,혀의 궤양,구토,기침,가슴 통증,,,,,,,,,,,,내과
만성 담즙 정체,가려움,구토,황색 피부,메스꺼움,식욕 감소,복통,눈의 황변,,,,,,,,,,,외과
약물 반응,가려움,피부 발진,복통,배뇨 시 화끈거림,혈뇨,,,,,,,,,,,,,정신과
소화성 궤양,구토,소화 불량,식욕 감소,복통,가스 배출,내부 가려움,,,,,,,,,,,,종합병원
에이즈,근육 소모,목구멍의 반점,고열,외도,,,,,,,,,,,,,,종합병원
당뇨병,피로,체중 감소,불안정,무기력,불규칙한 혈당,시력 흐림 및 왜곡,비만,과도한 허기,식욕 증가,다뇨,,,,,,,,내과
위장염,구토,눈의 함몰,탈수,설사,,,,,,,,,,,,,,종합병원
기관지 천식,피로,기침,고열,숨가쁨,가족력,점액성 가래,,,,,,,,,,,,호흡기내과
고혈압,두통,가슴 통증,어지러움,균형 상실,집중력 부족,,,,,,,,,,,,,내과
편두통,산성 역류,소화 불량,두통,시력 흐림 및 왜곡,과도한 허기,목 경직,우울증,성미 급함,시각 장애,,,,,,,,,신경과
경추증,허리 통증,사지 약화,목 통증,어지러움,균형 상실,,,,,,,,,,,,,정형외과
마비(뇌출혈),구토,두통,한쪽 몸의 약화,감각 변화,,,,,,,,,,,,,,신경과
황달,가려움,구토,피로,체중 감소,고열,황색 피부,어두운 소변,복통,,,,,,,,,,종합병원
말라리아,오한,구토,고열,발한,두통,메스꺼움,설사,근육통,,,,,,,,,,종합병원
수두,가려움,피부 발진,피로,무기력,고열,두통,식욕 감소,약한 열,림프절 부종,불쾌감,몸 전체의 붉은 반점,,,,,,,소아과
뎅기열,피부 발진,오한,관절통,구토,피로,고열,두통,메스꺼움,식욕 감소,눈 뒤편의 통증,허리 통증,불쾌감,근육통,몸 전체의 붉은 반점,,,,종합병원
장티푸스,오한,구토,피로,고열,두통,메스꺼움,변비,복통,설사,독성 외모(타이푸스),복통,,,,,,,종합병원
A형 간염,관절통,구토,황색 피부,어두운 소변,메스꺼움,식욕 감소,복통,설사,약한 열,눈의 황변,근육통,,,,,,,종합병원
B형 간염,가려움,피로,무기력,황색 피부,어두운 소변,식욕 감소,복통,노란 소변,눈의 황변,불쾌감,수혈 받음,비멸균 주사 사용,,,,,,종합병원
C형 간염,피로,황색 피부,메스꺼움,식욕 감소,눈의 황변,가족력,,,,,,,,,,,,종합병원
D형 간염,관절통,구토,피로,황색 피부,어두운 소변,메스꺼움,식욕 감소,복통,눈의 황변,,,,,,,,,종합병원
E형 간염,관절통,구토,피로,고열,황색 피부,어두운 소변,메스꺼움,식욕 감소,복통,눈의 황변,급성 간부전,혼수 상태,위 출혈,,,,,종합병원
알코올성 간염,구토,황색 피부,복통,복부 팽창,복부 팽만,알코올 섭취,체액 과부하,,,,,,,,,,,내과
결핵,오한,구토,피로,체중 감소,기침,고열,숨가쁨,발한,식욕 감소,약한 열,눈의 황변,림프절 부종,불쾌감,가래,가슴 통증,가래 속 혈액,,종합병원
감기,지속적인 재채기,오한,피로,기침,고열,두통,림프절 부종,불쾌감,가래,목 자극,눈의 충혈,축농증,콧물,혼잡,가슴 통증,후각 상실,근육통,종합병원
폐렴,오한,피로,기침,고열,숨가쁨,발한,불쾌감,가래,가슴 통증,빠른 심장 박동,녹슨 가래,,,,,,,호흡기내과
이형성 치질,변비,대변 시 통증,항문 지역 통증,혈변,항문 자극,,,,,,,,,,,,,외과
심장마비,구토,숨가쁨,발한,가슴 통증,,,,,,,,,,,,,,종합병원
정맥류,피로,경련,멍,비만,다리 부종,혈관 부종,정강이의 두드러진 정맥,,,,,,,,,,,외과
갑상선 기능 저하증,피로,체중 증가,손발 차가움,기분 변화,무기력,어지러움,얼굴과 눈의 부기,갑상선 비대,취약한 손톱,사지 부종,우울증,성미 급함,비정상적 월경,,,,,종합병원
갑상선 기능 항진증,피로,기분 변화,체중 감소,불안정,발한,설사,빠른 심장 박동,과도한 허기,근육 약화,성미 급함,비정상적 월경,,,,,,,종합병원
저혈당증,구토,피로,불안,발한,두통,메스꺼움,시력 흐림 및 왜곡,과도한 허기,입술의 건조 및 따끔거림,말이 어눌함,성미 급함,심계항진,,,,,,내과
골관절염,관절통,목 통증,무릎 통증,고관절 통증,관절 부종,통증을 동반한 걷기,,,,,,,,,,,,종합병원
관절염,근육 약화,목 경직,관절 부종,움직임의 경직,통증을 동반한 걷기,,,,,,,,,,,,,종합병원
돌발성 위치성 현훈,구토,두통,메스꺼움,회전 동작,균형 상실,불안정성,,,,,,,,,,,,신경과
여드름,피부 발진,고름 여드름,블랙헤드,급하게 달리기,,,,,,,,,,,,,,피부과
요로 감염,배뇨 시 화끈거림,방광 불편함,소변의 악취,지속적인 소변감,,,,,,,,,,,,,,종합병원
건선,피부 발진,관절통,피부 벗겨짐,은백색 분진,손톱의 작은 움푹함,염증성 손톱,,,,,,,,,,,,피부과
임페티고,피부 발진,고열,물집,코 주변의 붉은 통증,노란색 딱지,,,,,,,,,,,,,피부과
진균 감염,가려움,피부 발진,결절성 피부 발진,색소 이상 반점,,,,,,,,,,,,,,피부과
알레르기,지속적인 재채기,오한,오한,눈물 흘림,,,,,,,,,,,,,,알레르기과
위식도 역류 질환,복통,산성 역류,혀의 궤양,구토,기침,가슴 통증,,,,,,,,,,,,내과
만성 담즙 정체,가려움,구토,황색 피부,메스꺼움,식욕 감소,복통,눈의 황변,,,,,,,,,,,외과
약물 반응,가려움,피부 발진,복통,배뇨 시 화끈거림,혈뇨,,,,,,,,,,,,,정신과
소화성 궤양,구토,소화 불량,식욕 감소,복통,가스 배출,내부 가려움,,,,,,,,,,,,종합병원
에이즈,근육 소모,목구멍의 반점,고열,외도,,,,,,,,,,,,,,종합병원
당뇨병,피로,체중 감소,불안정,무기력,불규칙한 혈당,시력 흐림 및 왜곡,비만,과도한 허기,식욕 증가,다뇨,,,,,,,,내과
위장염,구토,눈의 함몰,탈수,설사,,,,,,,,,,,,,,종합병원
기관지 천식,피로,기침,고열,숨가쁨,가족력,점액성 가래,,,,,,,,,,,,호흡기내과
고혈압,두통,가슴 통증,어지러움,균형 상실,집중력 부족,,,,,,,,,,,,,내과
편두통,산성 역류,소화 불량,두통,시력 흐림 및 왜곡,과도한 허기,목 경직,우울증,성미 급함,시각 장애,,,,,,,,,신경과
경추증,허리 통증,사지 약화,목 통증,어지러움,균형 상실,,,,,,,,,,,,,정형외과
마비(뇌출혈),구토,두통,한쪽 몸의 약화,감각 변화,,,,,,,,,,,,,,신경과
황달,가려움,구토,피로,체중 감소,고열,황색 피부,어두운 소변,복통,,,,,,,,,,종합병원
말라리아,오한,구토,고열,발한,두통,메스꺼움,설사,근육통,,,,,,,,,,종합병원
수두,가려움,피부 발진,피로,무기력,고열,두통,식욕 감소,약한 열,림프절 부종,불쾌감,몸 전체의 붉은 반점,,,,,,,소아과
뎅기열,피부 발진,오한,관절통,구토,피로,고열,두통,메스꺼움,식욕 감소,눈 뒤편의 통증,허리 통증,불쾌감,근육통,몸 전체의 붉은 반점,,,,종합병원
장티푸스,오한,구토,피로,고열,두통,메스꺼움,변비,복통,설사,독성 외모(타이푸스),복통,,,,,,,종합병원
A형 간염,관절통,구토,황색 피부,어두운 소변,메스꺼움,식욕 감소,복통,설사,약한 열,눈의 황변,근육통,,,,,,,종합병원
B형 간염,가려움,피로,무기력,황색 피부,어두운 소변,식욕 감소,복통,노란 소변,눈의 황변,불쾌감,수혈 받음,비멸균 주사 사용,,,,,,종합병원
C형 간염,피로,황색 피부,메스꺼움,식욕 감소,눈의 황변,가족력,,,,,,,,,,,,종합병원
D형 간염,관절통,구토,피로,황색 피부,어두운 소변,메스꺼움,식욕 감소,복통,눈의 황변,,,,,,,,,종합병원
E형 간염,관절통,구토,피로,고열,황색 피부,어두운 소변,메스꺼움,식욕 감소,복통,눈의 황변,급성 간부전,혼수 상태,위 출혈,,,,,종합병원
알코올성 간염,구토,황색 피부,복통,복부 팽창,복부 팽만,알코올 섭취,체액 과부하,,,,,,,,,,,내과
결핵,오한,구토,피로,체중 감소,기침,고열,숨가쁨,발한,식욕 감소,약한 열,눈의 황변,림프절 부종,불쾌감,가래,가슴 통증,가래 속 혈액,,종합병원
감기,지속적인 재채기,오한,피로,기침,고열,두통,림프절 부종,불쾌감,가래,목 자극,눈의 충혈,축농증,콧물,혼잡,가슴 통증,후각 상실,근육통,종합병원
폐렴,오한,피로,기침,고열,숨가쁨,발한,불쾌감,가래,가슴 통증,빠른 심장 박동,녹슨 가래,,,,,,,호흡기내과
이형성 치질,변비,대변 시 통증,항문 지역 통증,혈변,항문 자극,,,,,,,,,,,,,외과
심장마비,구토,숨가쁨,발한,가슴 통증,,,,,,,,,,,,,,종합병원
정맥류,피로,경련,멍,비만,다리 부종,혈관 부종,정강이의 두드러진 정맥,,,,,,,,,,,외과
갑상선 기능 저하증,피로,체중 증가,손발 차가움,기분 변화,무기력,어지러움,얼굴과 눈의 부기,갑상선 비대,취약한 손톱,사지 부종,우울증,성미 급함,비정상적 월경,,,,,종합병원
갑상선 기능 항진증,피로,기분 변화,체중 감소,불안정,발한,설사,빠른 심장 박동,과도한 허기,근육 약화,성미 급함,비정상적 월경,,,,,,,종합병원
저혈당증,구토,피로,불안,발한,두통,메스꺼움,시력 흐림 및 왜곡,과도한 허기,입술의 건조 및 따끔거림,말이 어눌함,성미 급함,심계항진,,,,,,내과
골관절염,관절통,목 통증,무릎 통증,고관절 통증,관절 부종,통증을 동반한 걷기,,,,,,,,,,,,종합병원
관절염,근육 약화,목 경직,관절 부종,움직임의 경직,통증을 동반한 걷기,,,,,,,,,,,,,종합병원
돌발성 위치성 현훈,구토,두통,메스꺼움,회전 동작,균형 상실,불안정성,,,,,,,,,,,,신경과
여드름,피부 발진,고름 여드름,블랙헤드,급하게 달리기,,,,,,,,,,,,,,피부과
요로 감염,배뇨 시 화끈거림,방광 불편함,소변의 악취,지속적인 소변감,,,,,,,,,,,,,,종합병원
건선,피부 발진,관절통,피부 벗겨짐,은백색 분진,손톱의 작은 움푹함,염증성 손톱,,,,,,,,,,,,피부과
임페티고,피부 발진,고열,물집,코 주변의 붉은 통증,노란색 딱지,,,,,,,,,,,,,피부과
진균 감염,가려움,피부 발진,결절성 피부 발진,색소 이상 반점,,,,,,,,,,,,,,피부과
알레르기,지속적인 재채기,오한,오한,눈물 흘림,,,,,,,,,,,,,,알레르기과
위식도 역류 질환,복통,산성 역류,혀의 궤양,구토,기침,가슴 통증,,,,,,,,,,,,내과
만성 담즙 정체,가려움,구토,황색 피부,메스꺼움,식욕 감소,복통,눈의 황변,,,,,,,,,,,외과
약물 반응,가려움,피부 발진,복통,배뇨 시 화끈거림,혈뇨,,,,,,,,,,,,,정신과
소화성 궤양,구토,소화 불량,식욕 감소,복통,가스 배출,내부 가려움,,,,,,,,,,,,종합병원
에이즈,근육 소모,목구멍의 반점,고열,외도,,,,,,,,,,,,,,종합병원
당뇨병,피로,체중 감소,불안정,무기력,불규칙한 혈당,시력 흐림 및 왜곡,비만,과도한 허기,식욕 증가,다뇨,,,,,,,,내과
위장염,구토,눈의 함몰,탈수,설사,,,,,,,,,,,,,,종합병원
기관지 천식,피로,기침,고열,숨가쁨,가족력,점액성 가래,,,,,,,,,,,,호흡기내과
고혈압,두통,가슴 통증,어지러움,균형 상실,집중력 부족,,,,,,,,,,,,,내과
편두통,산성 역류,소화 불량,두통,시력 흐림 및 왜곡,과도한 허기,목 경직,우울증,성미 급함,시각 장애,,,,,,,,,신경과
경추증,허리 통증,사지 약화,목 통증,어지러움,균형 상실,,,,,,,,,,,,,정형외과
마비(뇌출혈),구토,두통,한쪽 몸의 약화,감각 변화,,,,,,,,,,,,,,신경과
